,run_id,created_at,instance_id,class_key,period,n_items,cap_mean,status,status_label,objective,best_bound,gap,runtime_sec,has_instance,solver_version,gap_num,run_batch
216,7c8de310-de60-446f-a5c8-45463f4d432a,2025-09-01T14:46:10.64588+00:00,34a2b73c-5adb-472f-9c2a-9a8ac64d7d15,class_T20_N20_DBMedium_TBO4_CVhigh_Z2,20,20,1432.4,9,TIME_LIMIT,95923.39993437509,94970.3741768012,0.00993527917302656,80.02975296974182,true,lefo_mip_v2,0.00993527917302656,1
107,d6882b01-9251-4952-8425-45d83468c796,2025-09-01T15:28:12.46434+00:00,fc683cdb-2ce9-4648-b628-d480b164addd,class_T60_N30_DBLoose_TBO4_CVhigh_Z3,60,30,2543.2166666666667,9,TIME_LIMIT,453977.8929374974,449545.47828477825,0.009763503293164557,80.83189606666565,true,lefo_mip_v2,0.009763503293164557,1
259,c51feecc-2fef-4494-9497-95f0819c9832,2025-09-01T14:19:59.814776+00:00,6723b3b6-b269-459e-93c0-d9c4c2829b67,prof_T20_N30_DBMedium_TBO4_CVhigh,20,30,2234.7,9,TIME_LIMIT,149151.44266979577,147712.16350292813,0.009649783743989898,80.02918314933777,true,lefo_mip_v2,0.009649783743989898,1
215,d81bcfbb-ac06-46c1-a1cf-41d180faf313,2025-09-01T14:47:31.446763+00:00,f450cdae-310a-4563-8b51-07063e94523e,class_T20_N20_DBMedium_TBO4_CVhigh_Z2,20,20,1509.35,9,TIME_LIMIT,105262.91322012883,104288.04844915369,0.00926123685116403,80.03963208198547,true,lefo_mip_v2,0.00926123685116403,1
163,83e95bab-c6ea-45d6-987f-76642af5ffcc,2025-09-01T15:01:46.76918+00:00,375bf7bd-6ed9-4943-b4a4-294ed43aef12,class_T40_N20_DBLoose_TBO4_CVhigh_Z3,40,20,1634.45,9,TIME_LIMIT,195173.07729555733,193521.41172839032,0.008462568659845649,80.06188607215881,true,lefo_mip_v2,0.008462568659845649,1
188,e4cd42a6-3425-44f2-b7bd-f331c5b4aa39,2025-09-01T14:54:22.251081+00:00,3d445e49-7e4a-40b1-8f23-d8ce7aa0c9c3,class_T20_N30_DBMedium_TBO4_CVhigh_Z2,20,30,2033.55,9,TIME_LIMIT,134089.54224149327,133161.43423316674,0.0069215540064639595,80.01881098747253,true,lefo_mip_v2,0.0069215540064639595,1
187,cedc8fca-9d33-49d6-96be-df196acf28ea,2025-09-01T14:55:43.215833+00:00,675aab1e-8c94-46e8-94f7-55bdf4c2312f,class_T20_N30_DBMedium_TBO4_CVhigh_Z2,20,30,2273.05,9,TIME_LIMIT,150225.218594181,149247.18523310678,0.006510447248649289,80.01760721206665,true,lefo_mip_v2,0.006510447248649289,1
260,ac428c9e-f987-4145-bbbe-626190e10bbb,2025-09-01T14:18:38.816921+00:00,01a981dc-ba65-4118-b953-613b27648e74,prof_T20_N30_DBMedium_TBO4_CVhigh,20,30,2242.35,9,TIME_LIMIT,149588.39695058018,148695.47893920657,0.005969166256047269,80.03123903274536,true,lefo_mip_v2,0.005969166256047269,1
161,71710dc3-53bf-4e63-860c-a16fbd68007e,2025-09-01T15:04:30.204277+00:00,c23b04df-67f4-42b9-a113-386b3d4a2ca7,class_T40_N20_DBMedium_TBO2_CVmed_Z3,40,20,1513.25,9,TIME_LIMIT,161484.29003569525,160600.57503992174,0.00547245181297926,80.05644297599792,true,lefo_mip_v2,0.00547245181297926,1
162,def16daa-af39-4274-b960-bc8cd2802768,2025-09-01T15:03:08.031665+00:00,9dee5d55-93d8-4b2a-9515-6a111bc5a2ff,class_T40_N20_DBMedium_TBO2_CVmed_Z3,40,20,1504.55,9,TIME_LIMIT,160349.8470043276,159505.19157555452,0.005267578638539563,80.05578589439392,true,lefo_mip_v2,0.005267578638539563,1
