,run_id,created_at,instance,class_key,period,n_items,cap_mean,status_label,solver_version,objective,best_bound,gap,runtime_sec,run_batch
53,db4a74fd-80db-4917-9825-5747464a321b,2025-09-27T03:02:08.500792+00:00,ins#2,X332HB8,40,30,2708.225,TIME_LIMIT,lefo_mip_v1,974716.5387379315,749959.1117904086,0.23058747647653552,600.0564370155334,11
55,9c608779-36ce-4380-91a6-6d5d7d139b50,2025-09-27T02:41:59.862323+00:00,ins#3,X332HB8,40,30,2713.6,TIME_LIMIT,lefo_mip_v1,960903.8365956389,740032.2659177157,0.2298581421637812,600.0577759742737,11
27,721534a9-2def-43d7-91aa-2a7517aa4c2c,2025-09-27T07:24:04.607857+00:00,ins#4,X332HB8,40,30,2709.7,TIME_LIMIT,lefo_mip_v1,953131.2918150587,747511.2878459737,0.21573103908646252,600.0529408454895,11
69,1fa77825-2cf5-4bf0-a251-c45e1f2c41df,2025-09-27T00:20:59.270302+00:00,ins#1,X332LB8,40,30,2267.3,TIME_LIMIT,lefo_mip_v1,783080.42868446,617566.018921102,0.21136323128572468,600.0498170852661,11
71,24f6dc72-864b-41f1-8b83-aa6aef17695a,2025-09-27T00:00:50.663646+00:00,ins#3,X332LB8,40,30,2647.85,TIME_LIMIT,lefo_mip_v1,870326.513612488,819976.2224258623,0.05785218581660277,600.0614478588104,11
77,c5b850da-e883-4a45-ae26-f5d2946cef6b,2025-09-26T23:00:25.06722+00:00,ins#2,X332LB8,40,30,2721.5,TIME_LIMIT,lefo_mip_v1,810296.3377450238,768601.6997470593,0.051456036582858876,600.050518989563,11
61,d63b3bfa-92a9-405a-8871-a1954e987d48,2025-09-27T01:41:33.740356+00:00,ins#5,X331LB8,40,30,2877.075,TIME_LIMIT,lefo_mip_v1,785925.0027336279,746588.70631902,0.05005095432488751,600.0513191223145,11
47,e7666d1b-0fef-42e7-8d8f-e09dfaed1fa8,2025-09-27T04:02:35.133956+00:00,ins#4,X331LB8,40,30,2874.325,TIME_LIMIT,lefo_mip_v1,775555.597347019,743993.5879864496,0.04069599841524595,600.0473618507385,11
59,ed09c2f0-1bf8-43b5-8b7c-ebba160b48fd,2025-09-27T02:01:41.846237+00:00,ins#1,X331HB8,40,30,2477.95,TIME_LIMIT,lefo_mip_v1,684690.5623564738,658814.1007784246,0.037792928661074386,600.0449359416962,11
25,966913c9-9b9b-4a6f-9194-63c3463112d7,2025-09-27T07:44:13.37676+00:00,ins#5,X332HB8,40,30,2750.175,TIME_LIMIT,lefo_mip_v1,827112.027161201,798013.6290696763,0.03518072175953688,600.0525550842285,11
