node_id,cg_iter,rmp_obj,num_columns,min_rc,columns_added
0,0,325400046.531709,21,-338998855.158485,20
0,1,36400963.426338,41,-117999715.322749,20
0,2,1039.040684,52,-86.928203,11
0,3,1039.040684,52,0.000000,0
0,0,1039.040684,52,0.000000,0
1,0,11601094.983022,52,0.000000,0
2,0,1070.713129,52,0.000000,0
3,0,1071.322434,52,0.000000,0
4,0,1087.771459,52,0.000000,0
5,0,1076.814281,52,0.000000,0
6,0,1120.779516,45,-98.041945,20
6,1,1120.779516,51,-61.120579,6
6,2,1120.779516,51,0.000000,0
9,0,5801099.532817,51,0.000000,0
10,0,1138.122348,51,-84.702282,5
10,1,1138.122348,51,0.000000,0
7,0,1115.271147,52,-87.956175,1
7,1,1115.271147,52,0.000000,0
8,0,1129.323169,52,0.000000,0
15,0,1138.868542,52,0.000000,0
16,0,1167.135351,52,0.000000,0
11,0,8201119.511633,52,0.000000,0
12,0,1161.539562,52,0.000000,0
17,0,1149.943940,52,0.000000,0
18,0,1179.844435,52,0.000000,0
13,0,26801027.219672,52,0.000000,0
14,0,1196.440476,52,0.000000,0
19,0,4001159.778058,52,0.000000,0
20,0,1186.233280,52,0.000000,0
25,0,40801034.787155,52,0.000000,0
26,0,1165.828843,52,0.000000,0
23,0,1175.438055,52,0.000000,0
24,0,1201.641527,52,0.000000,0
33,0,8201186.702132,52,0.000000,0
34,0,1187.772951,39,-81.663294,4
34,1,1187.772951,39,0.000000,0
21,0,40801047.734959,45,-80.000000,6
21,1,40801047.734959,45,0.000000,0
22,0,1183.020254,45,0.000000,0
35,0,2801194.856881,51,-83.253893,6
35,1,2801194.856881,51,0.000000,0
36,0,1218.816070,51,0.000000,0
27,0,40801062.308080,51,0.000000,0
28,0,1195.442366,51,0.000000,0
41,0,8201194.277370,51,0.000000,0
42,0,1204.511375,51,0.000000,0
31,0,40801086.115657,51,0.000000,0
32,0,1202.100721,51,0.000000,0
39,0,1226.887817,51,0.000000,0
40,0,1234.553519,47,0.000000,0
45,0,8201204.748651,50,-86.928203,3
45,1,8201204.748651,50,0.000000,0
46,0,1216.658826,51,-0.213206,1
46,1,1216.658826,51,0.000000,0
29,0,56800998.674986,51,0.000000,0
30,0,1213.814813,51,0.000000,0
37,0,1220.532074,51,0.000000,0
38,0,1257.412398,51,0.000000,0
49,0,15001186.709559,51,0.000000,0
50,0,1242.892074,51,0.000000,0
47,0,1239.974944,51,0.000000,0
48,0,1251.744930,51,0.000000,0
57,0,37801057.480747,51,0.000000,0
58,0,1241.932790,51,0.000000,0
55,0,1231.174682,51,0.000000,0
56,0,1274.201714,51,0.000000,0
43,0,2801242.555120,51,0.000000,0
44,0,1258.802473,51,0.000000,0
59,0,1275.196217,51,0.000000,0
60,0,1285.421724,51,0.000000,0
51,0,14401164.190881,51,0.000000,0
52,0,1256.063524,48,-80.000000,4
52,1,1256.063524,48,0.000000,0
71,0,1233.775861,48,0.000000,0
72,0,1289.933730,48,0.000000,0
77,0,1238.885214,48,0.000000,0
78,0,1311.687057,37,0.000000,0
53,0,1235.006258,38,-71.533544,1
53,1,1235.006258,38,0.000000,0
54,0,1290.032664,38,0.000000,0
81,0,1235.457923,38,0.000000,0
82,0,1312.054815,38,0.000000,0
