node_id,cg_iter,rmp_obj,num_columns,min_rc,columns_added
0,0,646485126.4005301,30,-664912629.671802,10
0,1,388407758.9909111,40,-759811726.5894002,10
0,2,233070557.24547338,50,-816849615.3362064,10
0,3,40219.054073202424,60,-6728.210268364979,10
0,4,39370.78158697588,70,-1134.286411663863,10
0,5,38949.104373132475,80,-1343.7496639698793,10
0,6,38741.97511851769,90,-1052.6704905947436,10
0,7,37879.694340753245,100,-698.5009841947758,10
0,8,37411.251088078774,110,-615.0840910916759,10
0,9,37218.57707565981,120,-650.7464362316286,10
0,10,37099.4518729399,130,-391.28653517081875,10
0,11,36782.21697852443,140,-447.2934436840824,10
0,12,36583.81236000666,150,-296.66824564200215,10
0,13,36461.35755007519,160,-219.02455721909428,10
0,14,36296.15415837309,170,-179.36974730468683,10
0,15,36218.787629849416,179,-139.92942522982867,9
0,16,36095.77046901332,189,-74.31897007227508,10
0,17,36079.16938115591,195,-122.58550142066542,6
0,18,36061.57405567325,200,-57.15117436219225,5
0,19,36052.99295302258,204,-19.14112858349472,4
0,20,36046.271032478064,208,-6.2645517691280475,4
0,21,36043.61029916872,213,-4.332923157791811,5
0,22,36042.28491345913,214,-0.10857718039096653,1
0,23,36042.27599112808,214,0.0,0
