node_id,cg_iter,rmp_obj,num_columns,min_rc,columns_added
0,0,573000729.351304,163,-329998463.000000,157
0,1,2987.369327,167,-101.000000,4
0,2,2987.369327,167,0.000000,0
0,0,2987.369327,167,0.000000,0
1,0,2989.590237,167,0.000000,0
2,0,2992.153116,167,0.000000,0
3,0,2999.991538,167,0.000000,0
4,0,2993.748956,167,0.000000,0
5,0,2999.858296,167,0.000000,0
6,0,2996.845445,167,0.000000,0
9,0,2994.555166,167,0.000000,0
10,0,2998.153341,167,0.000000,0
15,0,2995.066261,167,0.000000,0
16,0,3011.333277,167,0.000000,0
19,0,3004.854895,167,0.000000,0
20,0,3008.260589,167,0.000000,0
13,0,3016.766512,167,0.000000,0
14,0,3033.050676,167,0.000000,0
17,0,3008.266349,167,0.000000,0
18,0,3011.493193,167,0.000000,0
11,0,3008.325337,167,0.000000,0
12,0,3011.137772,167,0.000000,0
7,0,3019.132469,167,0.000000,0
8,0,3012.346929,167,0.000000,0
23,0,3026.587310,167,0.000000,0
24,0,3015.595601,167,0.000000,0
25,0,3042.932857,167,0.000000,0
26,0,3037.614178,167,0.000000,0
31,0,3037.734429,167,0.000000,0
32,0,3014.702866,167,0.000000,0
35,0,3010.992422,167,0.000000,0
36,0,3056.706649,167,0.000000,0
55,0,3031.904555,167,0.000000,0
56,0,3028.490540,167,0.000000,0
37,0,3011.427487,167,0.000000,0
38,0,3026.820997,167,0.000000,0
21,0,3026.308614,167,0.000000,0
22,0,3017.015476,167,0.000000,0
63,0,3033.263755,167,0.000000,0
64,0,3029.656996,167,0.000000,0
33,0,3046.968911,167,0.000000,0
34,0,3039.880232,167,0.000000,0
41,0,3058.102687,167,0.000000,0
42,0,3038.633452,167,0.000000,0
53,0,3027.125488,167,0.000000,0
54,0,3035.030669,167,0.000000,0
45,0,3016.252944,167,0.000000,0
46,0,3029.226068,167,0.000000,0
87,0,3045.614908,167,0.000000,0
88,0,3030.170656,167,0.000000,0
27,0,3028.171315,167,0.000000,0
28,0,3022.200000,167,0.000000,0
69,0,3003078.883022,167,0.000000,0
70,0,3049.087502,167,0.000000,0
39,0,3020.353841,167,0.000000,0
40,0,3023.644996,167,0.000000,0
103,0,3028.167802,167,0.000000,0
104,0,3055.033452,167,0.000000,0
97,0,3034.031038,167,0.000000,0
98,0,3025.533333,167,0.000000,0
105,0,3025.313910,167,0.000000,0
106,0,3050.878182,167,0.000000,0
115,0,11002914.204728,167,0.000000,0
116,0,3069.839264,167,0.000000,0
113,0,3035.824658,167,0.000000,0
114,0,3025.600000,167,0.000000,0
125,0,3080.275758,167,0.000000,0
126,0,3041.715921,167,0.000000,0
67,0,3003057.154554,167,0.000000,0
68,0,3057.668986,167,0.000000,0
43,0,3121.468168,167,0.000000,0
44,0,3039.639474,167,0.000000,0
65,0,3027.632525,167,0.000000,0
66,0,3037.402287,167,0.000000,0
83,0,3084.752073,167,0.000000,0
84,0,3035.113012,167,0.000000,0
139,0,3062.152439,167,0.000000,0
140,0,3056.732250,167,0.000000,0
107,0,3031.286434,167,0.000000,0
108,0,3030.367066,167,0.000000,0
95,0,3032.118911,167,0.000000,0
96,0,3037.375177,167,0.000000,0
61,0,3029.084336,167,0.000000,0
62,0,3033.304792,167,0.000000,0
159,0,3035.815826,167,0.000000,0
160,0,3083.739391,167,0.000000,0
89,0,3038.185262,167,0.000000,0
90,0,3060.450347,167,0.000000,0
73,0,3044.993780,167,0.000000,0
74,0,3042.968155,167,0.000000,0
93,0,3032.059339,167,0.000000,0
94,0,3049.150248,167,0.000000,0
153,0,3078.242424,167,0.000000,0
154,0,3052.147900,167,0.000000,0
151,0,11002899.766462,167,0.000000,0
152,0,3063.376340,167,0.000000,0
59,0,3052.517763,167,0.000000,0
60,0,3054.788912,167,0.000000,0
175,0,50002632.658453,167,0.000000,0
176,0,3032.900248,167,0.000000,0
155,0,3045.171908,167,0.000000,0
156,0,3047.117569,167,0.000000,0
193,0,55002545.120369,167,0.000000,0
194,0,3040.150248,167,0.000000,0
29,0,3049.756370,167,0.000000,0
30,0,3052.649376,167,0.000000,0
71,0,3075.000068,167,0.000000,0
72,0,3056.207167,167,0.000000,0
161,0,3057.081245,167,0.000000,0
162,0,3055.932703,167,0.000000,0
111,0,3049.773924,167,0.000000,0
112,0,3063.179236,167,0.000000,0
85,0,3036.035815,167,0.000000,0
86,0,3042.382843,167,0.000000,0
145,0,10002926.415556,167,0.000000,0
146,0,3043.145714,167,0.000000,0
163,0,3097.049557,167,0.000000,0
164,0,3072.236483,167,0.000000,0
123,0,10002936.178632,167,0.000000,0
124,0,3049.189282,167,0.000000,0
219,0,3049.287353,167,0.000000,0
220,0,3039.147493,167,0.000000,0
157,0,3041.930717,167,0.000000,0
158,0,3045.287764,167,0.000000,0
141,0,3046.023864,167,0.000000,0
142,0,3044.386524,167,0.000000,0
49,0,3044.698614,167,0.000000,0
50,0,3058.089204,167,0.000000,0
51,0,3045.635698,167,0.000000,0
52,0,3052.912201,167,0.000000,0
167,0,3081.519469,167,0.000000,0
168,0,3059.480408,167,0.000000,0
81,0,3046.034153,167,0.000000,0
82,0,3058.251137,167,0.000000,0
237,0,3096.335744,167,0.000000,0
238,0,3060.898102,167,0.000000,0
137,0,21002783.827171,167,0.000000,0
138,0,3059.270000,167,0.000000,0
77,0,3047.785693,167,0.000000,0
78,0,3061.321807,167,0.000000,0
201,0,3041.860000,167,0.000000,0
202,0,3105.450769,167,0.000000,0
129,0,3056.573924,167,0.000000,0
130,0,3074.669767,167,0.000000,0
